"periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,latitud,longitud"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,326,Participación en grupo armado dirigido por extranjero,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,ATENTADOS CONTRA SEGURIDAD NACIONAL Y TRAICIÓN A LA PATRIA,328,Formas agravadas ,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ESTADO Y LA DEFENSA NACIONAL,DELITOS QUE COMPROMETEN LAS RELACIONES EXTERIORES DEL ESTADO,338,Conjuración contra un Estado extranjero,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,""INJURIA,CALUMNIA Y DIFAMACION"",131,Calumnia,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL HONOR,""INJURIA,CALUMNIA Y DIFAMACION"",132,Difamación,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS FINANCIEROS,245-A,Falsedad de información presentada por un emisor en el mercado de valores,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común,13,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
